seed,E0_best_mAP50_95,E5_best_mAP50_95,delta_best,E0_last_mAP50_95,E5_last_mAP50_95,delta_last
1,0.7712,0.78,+0.0088,0.7712,0.7795,+0.0083
7,0.7749,0.7781,+0.0032,0.7723,0.7779,+0.0056
21,0.7761,0.7736,-0.0025,0.7756,0.7735,-0.0021
42,0.778,0.7781,+0.0001,0.7729,0.7772,+0.0043
100,0.7747,0.7754,+0.0007,0.7763,0.7762,-0.0001
101,0.7768,0.7722,-0.0046,0.7749,0.7728,-0.0021
103,0.7728,0.7721,-0.0007,0.7745,0.7721,-0.0024
107,0.7715,0.7747,+0.0032,0.7696,0.7789,+0.0093
109,0.7759,0.7743,-0.0016,0.7735,0.7739,+0.0004
113,0.7734,0.7746,+0.0012,0.776,0.7746,-0.0014
