model,seed,checkpoint_rule,mAP50,mAP50_95,precision,recall
E0,101,best,0.667,0.3709,0.8604,0.5939
E0,101,last,0.6686,0.3727,0.8646,0.596
E0,103,best,0.6608,0.3708,0.8366,0.5888
E0,103,last,0.6513,0.3657,0.8547,0.5794
E0,107,best,0.6701,0.3741,0.8515,0.6006
E0,107,last,0.6462,0.3588,0.8405,0.5817
E0,109,best,0.6309,0.3513,0.8343,0.57
E0,109,last,0.6375,0.3568,0.8368,0.5787
E0,113,best,0.6758,0.3752,0.8589,0.6081
E0,113,last,0.6644,0.3694,0.8568,0.5966
E5,101,best,0.6628,0.3704,0.8757,0.5998
E5,101,last,0.6589,0.3708,0.8626,0.6021
E5,103,best,0.6318,0.3544,0.8422,0.5736
E5,103,last,0.6259,0.3512,0.8383,0.5721
E5,107,best,0.6549,0.3652,0.8697,0.5811
E5,107,last,0.6342,0.354,0.8685,0.572
E5,109,best,0.637,0.3567,0.8557,0.5688
E5,109,last,0.6286,0.3535,0.8494,0.5717
E5,113,best,0.6274,0.3523,0.837,0.5731
E5,113,last,0.6274,0.3523,0.837,0.5731
E0,1,best,0.6456,0.3622,0.8692,0.5762
E0,1,last,0.6456,0.3622,0.8692,0.5762
E0,7,best,0.6753,0.3824,0.861,0.605
E0,7,last,0.6582,0.3715,0.8672,0.5909
E0,21,best,0.6802,0.377,0.8365,0.6272
E0,21,last,0.6807,0.3781,0.8365,0.6276
E0,42,best,0.6704,0.3765,0.87,0.6008
E0,42,last,0.6682,0.3741,0.8621,0.6051
E0,100,best,0.6196,0.3468,0.8506,0.5607
E0,100,last,0.6249,0.3505,0.8589,0.5647
E5,1,best,0.6708,0.3752,0.8647,0.605
E5,1,last,0.6696,0.3739,0.8618,0.603
E5,7,best,0.6563,0.3708,0.8565,0.5831
E5,7,last,0.6509,0.3697,0.8581,0.5874
E5,21,best,0.6674,0.3748,0.8585,0.6009
E5,21,last,0.6656,0.37,0.8617,0.5941
E5,42,best,0.6545,0.3654,0.854,0.5831
E5,42,last,0.6466,0.3622,0.8549,0.5795
E5,100,best,0.6321,0.3523,0.8488,0.5602
E5,100,last,0.6375,0.3545,0.8579,0.5664
RTDETR-L,1,best,0.7133,0.3896,0.8713,0.6385
RTDETR-L,1,last,0.7133,0.3896,0.8713,0.6385
RTDETR-L,7,best,0.7095,0.3891,0.8735,0.6457
RTDETR-L,7,last,0.7095,0.3891,0.8735,0.6457
RTDETR-L,42,best,0.6807,0.3691,0.8508,0.6272
RTDETR-L,42,last,0.694,0.3791,0.8572,0.6395
