model,architecture,checkpoint,batch,precision,imgsz,available,iterations,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,fps,throughput_img_s,peak_allocated_mib,params,gflops,input_dtype,device,error
"E0 (YOLO26s baseline, best)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\best.pt,1,fp32,640,True,3000,28.4657,30.4937,39.6175,8.2525,12.366,85.3719,35.13,35.13,233.3,9948638,22.7,float32,cuda:0,
"E0 (YOLO26s baseline, best)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\best.pt,1,fp16,640,True,3000,35.9318,35.3833,44.4969,5.2086,17.5995,85.3453,27.83,27.83,196.1,9948638,,float16,cuda:0,
"E0 (YOLO26s baseline, best)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\best.pt,4,fp32,640,True,3000,28.2926,28.3028,29.2731,1.2476,26.5492,57.4249,35.34,141.38,332.7,9948638,22.7,float32,cuda:0,
"E0 (YOLO26s baseline, best)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\best.pt,4,fp16,640,True,3000,21.7917,20.9969,29.229,4.1211,16.0696,59.4245,45.89,183.56,263.6,9948638,,float16,cuda:0,
"E0 (YOLO26s baseline, last)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\last.pt,1,fp32,640,True,3000,18.4626,17.8611,24.3456,3.3111,12.6779,56.3108,54.16,54.16,233.6,9948638,22.7,float32,cuda:0,
"E0 (YOLO26s baseline, last)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\last.pt,1,fp16,640,True,3000,21.5781,20.9997,28.1027,3.698,14.7508,68.0858,46.34,46.34,196.1,9948638,,float16,cuda:0,
"E0 (YOLO26s baseline, last)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\last.pt,4,fp32,640,True,3000,27.4369,27.3407,28.0371,0.9359,26.1896,57.8908,36.45,145.79,332.7,9948638,22.7,float32,cuda:0,
"E0 (YOLO26s baseline, last)",YOLO,<PIG_PROJECT>\results\baseline\E0_baseline\weights\last.pt,4,fp16,640,True,3000,20.7378,19.8785,26.9599,3.4583,16.1659,57.7864,48.22,192.88,302.0,9948638,,float16,cuda:0,
"E5 (YOLO26s+CA+SIoU, best)",YOLO,<PIG_PROJECT>\results\ablation\E5_CA_SIoU\weights\best.pt,1,fp32,640,True,3000,19.0269,18.5539,24.5585,3.1736,13.5772,54.1604,52.56,52.56,271.0,9974286,22.7,float32,cuda:0,
"E5 (YOLO26s+CA+SIoU, best)",YOLO,<PIG_PROJECT>\results\ablation\E5_CA_SIoU\weights\best.pt,1,fp16,640,True,3000,22.4522,21.8282,28.9567,3.7059,15.5822,53.289,44.54,44.54,196.1,9974286,,float16,cuda:0,
