dataset,seed,arm,checkpoint_rule,variant,condition,images,gt_boxes,tp,fp,recall,precision
OinkTrack_official_test_8569,1,E0,best,A_locked_text_manuscript,D,663,19944,13751,1462,0.689480545527477,0.9038979819890883
OinkTrack_official_test_8569,1,E0,best,A_locked_text_manuscript,DN,5432,168561,102884,15679,0.6103665735253113,0.8677580695495222
OinkTrack_official_test_8569,1,E0,best,A_locked_text_manuscript,N,2470,73217,33338,3597,0.4553314121037464,0.902612697982943
OinkTrack_official_test_8569,1,E0,best,B_extension_strict,D,663,19944,13751,1462,0.689480545527477,0.9038979819890883
OinkTrack_official_test_8569,1,E0,best,B_extension_strict,DN,5432,168561,102884,15679,0.6103665735253113,0.8677580695495222
OinkTrack_official_test_8569,1,E0,best,B_extension_strict,N,2470,73217,33338,3597,0.4553314121037464,0.902612697982943
OinkTrack_official_test_8569,21,E0,best,A_locked_text_manuscript,D,663,19944,15340,2034,0.7691536301644605,0.882928513871302
OinkTrack_official_test_8569,21,E0,best,A_locked_text_manuscript,DN,5432,168561,115519,22816,0.6853246005896975,0.8350670473849713
OinkTrack_official_test_8569,21,E0,best,A_locked_text_manuscript,N,2470,73217,35066,9781,0.47893248835652924,0.7819029143532454
OinkTrack_official_test_8569,21,E0,best,B_extension_strict,D,663,19944,15340,2034,0.7691536301644605,0.882928513871302
OinkTrack_official_test_8569,21,E0,best,B_extension_strict,DN,5432,168561,115519,22816,0.6853246005896975,0.8350670473849713
OinkTrack_official_test_8569,21,E0,best,B_extension_strict,N,2470,73217,35066,9781,0.47893248835652924,0.7819029143532454
OinkTrack_official_test_8569,42,E0,best,A_locked_text_manuscript,D,663,19944,14719,2021,0.738016446048937,0.8792712066905616
OinkTrack_official_test_8569,42,E0,best,A_locked_text_manuscript,DN,5432,168561,108913,22351,0.6461340404957255,0.8297248293515358
OinkTrack_official_test_8569,42,E0,best,A_locked_text_manuscript,N,2470,73217,36204,3638,0.49447532676837347,0.9086893228251594
OinkTrack_official_test_8569,42,E0,best,B_extension_strict,D,663,19944,14719,2021,0.738016446048937,0.8792712066905616
OinkTrack_official_test_8569,42,E0,best,B_extension_strict,DN,5432,168561,108913,22351,0.6461340404957255,0.8297248293515358
OinkTrack_official_test_8569,42,E0,best,B_extension_strict,N,2470,73217,36204,3638,0.49447532676837347,0.9086893228251594
OinkTrack_official_test_8569,101,E0,best,A_locked_text_manuscript,D,663,19944,14247,1514,0.7143501805054152,0.9039401053232663
OinkTrack_official_test_8569,101,E0,best,A_locked_text_manuscript,DN,5432,168561,108247,17770,0.6421829486061426,0.8589872794940365
OinkTrack_official_test_8569,101,E0,best,A_locked_text_manuscript,N,2470,73217,33133,5764,0.4525315159047762,0.851813764557678
OinkTrack_official_test_8569,101,E0,best,B_extension_strict,D,663,19944,14247,1514,0.7143501805054152,0.9039401053232663
OinkTrack_official_test_8569,101,E0,best,B_extension_strict,DN,5432,168561,108247,17770,0.6421829486061426,0.8589872794940365
OinkTrack_official_test_8569,101,E0,best,B_extension_strict,N,2470,73217,33133,5764,0.4525315159047762,0.851813764557678
OinkTrack_official_test_8569,113,E0,best,A_locked_text_manuscript,D,663,19944,14070,1688,0.7054753309265944,0.892879807082117
OinkTrack_official_test_8569,113,E0,best,A_locked_text_manuscript,DN,5432,168561,109842,19584,0.6516453984017655,0.8486857354781883
OinkTrack_official_test_8569,113,E0,best,A_locked_text_manuscript,N,2470,73217,35384,4752,0.48327574197249273,0.8816025513254934
OinkTrack_official_test_8569,113,E0,best,B_extension_strict,D,663,19944,14070,1688,0.7054753309265944,0.892879807082117
OinkTrack_official_test_8569,113,E0,best,B_extension_strict,DN,5432,168561,109842,19584,0.6516453984017655,0.8486857354781883
OinkTrack_official_test_8569,113,E0,best,B_extension_strict,N,2470,73217,35384,4752,0.48327574197249273,0.8816025513254934
OinkTrack_official_test_8569,1,E5,best,A_locked_text_manuscript,D,663,19944,14998,1584,0.7520056157240272,0.9044747316367145
OinkTrack_official_test_8569,1,E5,best,A_locked_text_manuscript,DN,5432,168561,110316,19087,0.6544574367736309,0.8524995556517236
OinkTrack_official_test_8569,1,E5,best,A_locked_text_manuscript,N,2470,73217,33319,4086,0.4550719095292077,0.8907632669429221
OinkTrack_official_test_8569,1,E5,best,B_extension_strict,D,663,19944,14998,1584,0.7520056157240272,0.9044747316367145
OinkTrack_official_test_8569,1,E5,best,B_extension_strict,DN,5432,168561,110316,19087,0.6544574367736309,0.8524995556517236
OinkTrack_official_test_8569,1,E5,best,B_extension_strict,N,2470,73217,33319,4086,0.4550719095292077,0.8907632669429221
OinkTrack_official_test_8569,21,E5,best,A_locked_text_manuscript,D,663,19944,14831,1785,0.7436321700762134,0.8925734232065479
OinkTrack_official_test_8569,21,E5,best,A_locked_text_manuscript,DN,5432,168561,110448,20527,0.6552405360670618,0.8432754342431762
OinkTrack_official_test_8569,21,E5,best,A_locked_text_manuscript,N,2470,73217,34281,7474,0.46821093461900926,0.8210034726380074
OinkTrack_official_test_8569,21,E5,best,B_extension_strict,D,663,19944,14831,1785,0.7436321700762134,0.8925734232065479
OinkTrack_official_test_8569,21,E5,best,B_extension_strict,DN,5432,168561,110448,20527,0.6552405360670618,0.8432754342431762
OinkTrack_official_test_8569,21,E5,best,B_extension_strict,N,2470,73217,34281,7474,0.46821093461900926,0.8210034726380074
OinkTrack_official_test_8569,42,E5,best,A_locked_text_manuscript,D,663,19944,13895,1991,0.6967007621339751,0.8746695203323681
OinkTrack_official_test_8569,42,E5,best,A_locked_text_manuscript,DN,5432,168561,106062,20100,0.6292202822716999,0.8406810291529938
OinkTrack_official_test_8569,42,E5,best,A_locked_text_manuscript,N,2470,73217,34492,6996,0.4710927789994127,0.8313729271114539
OinkTrack_official_test_8569,42,E5,best,B_extension_strict,D,663,19944,13895,1991,0.6967007621339751,0.8746695203323681
OinkTrack_official_test_8569,42,E5,best,B_extension_strict,DN,5432,168561,106062,20100,0.6292202822716999,0.8406810291529938
OinkTrack_official_test_8569,42,E5,best,B_extension_strict,N,2470,73217,34492,6996,0.4710927789994127,0.8313729271114539
OinkTrack_official_test_8569,101,E5,best,A_locked_text_manuscript,D,663,19944,14261,1327,0.7150521460088247,0.9148704131383115
