dataset,variant,condition,checkpoint_rule,n,mean_delta,median_delta,sd_delta,min,max,pos,neg,zero,ci_low,ci_high,ci_contains_zero,exact_p2,exact_p2_fraction,ties,low_support_warning,support_min_instances
oinktrack,A_locked_text_manuscript,D,best,5,-0.0028479743281187306,-0.010629763337344564,0.03981408325199889,-0.04131568391496189,0.06252507019655035,2,3,0,-0.029041315683914957,0.032551143200962696,True,7/8,28/32,2,False,19944
oinktrack,A_locked_text_manuscript,DN,best,5,-0.008406452263572237,-0.016913758224025723,0.03483264469944428,-0.04511719792834641,0.0440908632483196,2,3,0,-0.033463256625198,0.02123148296462408,True,5/8,20/32,2,False,168561
oinktrack,A_locked_text_manuscript,N,best,5,-0.006941010967398282,-0.0027998961989701846,0.010425423286058255,-0.02338254776896076,0.0024584454429982107,1,4,0,-0.015785951350096288,0.00031959790758976736,True,3/16,6/32,2,False,73217
oinktrack,A_locked_text_manuscript,D,last,5,-0.004221821099077417,-0.0031087043722422786,0.0464801362909992,-0.05129362214199759,0.06407942238267147,2,3,0,-0.0382872041716807,0.03229041315683915,True,15/16,30/32,2,False,19944
oinktrack,A_locked_text_manuscript,DN,last,5,-0.011562579718914813,-0.02863651734386958,0.03704502371724399,-0.047674135772806284,0.043378954799746086,2,3,0,-0.03813337604784024,0.021051132824318794,True,9/16,18/32,2,False,168561
oinktrack,A_locked_text_manuscript,N,last,5,-0.014827157627326986,-0.012770258273351816,0.01456910350541855,-0.03583867134681836,0.0007238756026605843,1,4,0,-0.026753349631916085,-0.003985413223704878,False,1/8,4/32,2,False,73217
oinktrack,B_extension_strict,D,best,5,-0.0028479743281187306,-0.010629763337344564,0.03981408325199889,-0.04131568391496189,0.06252507019655035,2,3,0,-0.029041315683914957,0.032551143200962696,True,7/8,28/32,2,False,19944
oinktrack,B_extension_strict,DN,best,5,-0.008406452263572237,-0.016913758224025723,0.03483264469944428,-0.04511719792834641,0.0440908632483196,2,3,0,-0.033463256625198,0.02123148296462408,True,5/8,20/32,2,False,168561
oinktrack,B_extension_strict,N,best,5,-0.006941010967398282,-0.0027998961989701846,0.010425423286058255,-0.02338254776896076,0.0024584454429982107,1,4,0,-0.015785951350096288,0.00031959790758976736,True,3/16,6/32,2,False,73217
oinktrack,B_extension_strict,D,last,5,-0.004221821099077417,-0.0031087043722422786,0.0464801362909992,-0.05129362214199759,0.06407942238267147,2,3,0,-0.0382872041716807,0.03229041315683915,True,15/16,30/32,2,False,19944
oinktrack,B_extension_strict,DN,last,5,-0.011562579718914813,-0.02863651734386958,0.03704502371724399,-0.047674135772806284,0.043378954799746086,2,3,0,-0.03813337604784024,0.021051132824318794,True,9/16,18/32,2,False,168561
oinktrack,B_extension_strict,N,last,5,-0.014827157627326986,-0.012770258273351816,0.01456910350541855,-0.03583867134681836,0.0007238756026605843,1,4,0,-0.026753349631916085,-0.003985413223704878,False,1/8,4/32,2,False,73217
