dataset,seed,arm,checkpoint_rule,variant,condition,instances,hits,recall
PigDetect_official_test_250,1,E0,best,A_locked_text_manuscript,Low,1715,1687,0.9836734693877551
PigDetect_official_test_250,1,E0,best,A_locked_text_manuscript,Medium,1385,1349,0.9740072202166065
PigDetect_official_test_250,1,E0,best,A_locked_text_manuscript,High,2336,2130,0.9118150684931506
PigDetect_official_test_250,1,E0,best,B_extension_strict,Low,1715,1687,0.9836734693877551
PigDetect_official_test_250,1,E0,best,B_extension_strict,Medium,1385,1349,0.9740072202166065
PigDetect_official_test_250,1,E0,best,B_extension_strict,High,2336,2130,0.9118150684931506
PigDetect_official_test_250,21,E0,best,A_locked_text_manuscript,Low,1715,1689,0.9848396501457726
PigDetect_official_test_250,21,E0,best,A_locked_text_manuscript,Medium,1385,1350,0.9747292418772563
PigDetect_official_test_250,21,E0,best,A_locked_text_manuscript,High,2336,2119,0.9071061643835616
PigDetect_official_test_250,21,E0,best,B_extension_strict,Low,1715,1689,0.9848396501457726
PigDetect_official_test_250,21,E0,best,B_extension_strict,Medium,1385,1350,0.9747292418772563
PigDetect_official_test_250,21,E0,best,B_extension_strict,High,2336,2119,0.9071061643835616
PigDetect_official_test_250,42,E0,best,A_locked_text_manuscript,Low,1715,1688,0.9842565597667638
PigDetect_official_test_250,42,E0,best,A_locked_text_manuscript,Medium,1385,1339,0.9667870036101083
PigDetect_official_test_250,42,E0,best,A_locked_text_manuscript,High,2336,2111,0.903681506849315
PigDetect_official_test_250,42,E0,best,B_extension_strict,Low,1715,1688,0.9842565597667638
PigDetect_official_test_250,42,E0,best,B_extension_strict,Medium,1385,1339,0.9667870036101083
PigDetect_official_test_250,42,E0,best,B_extension_strict,High,2336,2111,0.903681506849315
PigDetect_official_test_250,101,E0,best,A_locked_text_manuscript,Low,1715,1693,0.9871720116618076
PigDetect_official_test_250,101,E0,best,A_locked_text_manuscript,Medium,1385,1350,0.9747292418772563
PigDetect_official_test_250,101,E0,best,A_locked_text_manuscript,High,2336,2124,0.9092465753424658
PigDetect_official_test_250,101,E0,best,B_extension_strict,Low,1715,1693,0.9871720116618076
PigDetect_official_test_250,101,E0,best,B_extension_strict,Medium,1385,1350,0.9747292418772563
PigDetect_official_test_250,101,E0,best,B_extension_strict,High,2336,2124,0.9092465753424658
PigDetect_official_test_250,113,E0,best,A_locked_text_manuscript,Low,1715,1693,0.9871720116618076
PigDetect_official_test_250,113,E0,best,A_locked_text_manuscript,Medium,1385,1348,0.9732851985559566
PigDetect_official_test_250,113,E0,best,A_locked_text_manuscript,High,2336,2126,0.9101027397260274
PigDetect_official_test_250,113,E0,best,B_extension_strict,Low,1715,1693,0.9871720116618076
PigDetect_official_test_250,113,E0,best,B_extension_strict,Medium,1385,1348,0.9732851985559566
PigDetect_official_test_250,113,E0,best,B_extension_strict,High,2336,2126,0.9101027397260274
PigDetect_official_test_250,1,E5,best,A_locked_text_manuscript,Low,1715,1696,0.9889212827988338
PigDetect_official_test_250,1,E5,best,A_locked_text_manuscript,Medium,1385,1356,0.9790613718411553
PigDetect_official_test_250,1,E5,best,A_locked_text_manuscript,High,2336,2125,0.9096746575342466
PigDetect_official_test_250,1,E5,best,B_extension_strict,Low,1715,1696,0.9889212827988338
PigDetect_official_test_250,1,E5,best,B_extension_strict,Medium,1385,1356,0.9790613718411553
PigDetect_official_test_250,1,E5,best,B_extension_strict,High,2336,2125,0.9096746575342466
PigDetect_official_test_250,21,E5,best,A_locked_text_manuscript,Low,1715,1696,0.9889212827988338
PigDetect_official_test_250,21,E5,best,A_locked_text_manuscript,Medium,1385,1343,0.9696750902527076
PigDetect_official_test_250,21,E5,best,A_locked_text_manuscript,High,2336,2118,0.9066780821917808
PigDetect_official_test_250,21,E5,best,B_extension_strict,Low,1715,1696,0.9889212827988338
PigDetect_official_test_250,21,E5,best,B_extension_strict,Medium,1385,1343,0.9696750902527076
PigDetect_official_test_250,21,E5,best,B_extension_strict,High,2336,2118,0.9066780821917808
PigDetect_official_test_250,42,E5,best,A_locked_text_manuscript,Low,1715,1686,0.9830903790087464
PigDetect_official_test_250,42,E5,best,A_locked_text_manuscript,Medium,1385,1342,0.9689530685920578
PigDetect_official_test_250,42,E5,best,A_locked_text_manuscript,High,2336,2106,0.901541095890411
PigDetect_official_test_250,42,E5,best,B_extension_strict,Low,1715,1686,0.9830903790087464
PigDetect_official_test_250,42,E5,best,B_extension_strict,Medium,1385,1342,0.9689530685920578
