dataset,variant,condition,checkpoint_rule,n,mean_delta,median_delta,sd_delta,min,max,pos,neg,zero,ci_low,ci_high,ci_contains_zero,exact_p2,exact_p2_fraction,ties,low_support_warning,support_min_instances
pigdetect,A_locked_text_manuscript,Low,best,5,0.000349854227405248,-0.0011661807580174927,0.0041763275987102,-0.004664723032069971,0.0052478134110787176,2,3,0,-0.0027988338192419825,0.0036151603498542273,True,15/16,30/32,2,False,1715
pigdetect,A_locked_text_manuscript,Medium,best,5,-0.0008664259927797834,-0.001444043321299639,0.004462537802270742,-0.005054151624548736,0.005054151624548736,2,3,0,-0.004332129963898917,0.00259927797833935,True,13/16,26/32,6,False,1385
pigdetect,A_locked_text_manuscript,High,best,5,-0.0032534246575342462,-0.0021404109589041095,0.0027676763485007896,-0.007705479452054794,-0.0004280821917808219,0,5,0,-0.005479452054794521,-0.0014554794520547944,False,1/16,2/32,2,False,2336
pigdetect,A_locked_text_manuscript,Low,last,5,-0.00046647230320699706,-0.0005830903790087463,0.0033343389983663666,-0.004664723032069971,0.004664723032069971,1,4,0,-0.003032069970845481,0.002448979591836735,True,5/8,20/32,4,False,1715
pigdetect,A_locked_text_manuscript,Medium,last,5,-0.0005776173285198555,0.001444043321299639,0.0042837247578891915,-0.005776173285198556,0.004332129963898917,3,2,0,-0.004043321299638989,0.00259927797833935,True,15/16,30/32,8,False,1385
pigdetect,A_locked_text_manuscript,High,last,5,-0.0017123287671232876,-0.0021404109589041095,0.005638672890547727,-0.007705479452054794,0.006421232876712328,2,3,0,-0.0059075342465753425,0.0028253424657534243,True,1/2,16/32,2,False,2336
pigdetect,B_extension_strict,Low,best,5,0.000349854227405248,-0.0011661807580174927,0.0041763275987102,-0.004664723032069971,0.0052478134110787176,2,3,0,-0.0027988338192419825,0.0036151603498542273,True,15/16,30/32,2,False,1715
pigdetect,B_extension_strict,Medium,best,5,-0.0008664259927797834,-0.001444043321299639,0.004462537802270742,-0.005054151624548736,0.005054151624548736,2,3,0,-0.004332129963898917,0.00259927797833935,True,13/16,26/32,6,False,1385
pigdetect,B_extension_strict,High,best,5,-0.0032534246575342462,-0.0021404109589041095,0.0027676763485007896,-0.007705479452054794,-0.0004280821917808219,0,5,0,-0.005479452054794521,-0.0014554794520547944,False,1/16,2/32,2,False,2336
pigdetect,B_extension_strict,Low,last,5,-0.00046647230320699706,-0.0005830903790087463,0.0033343389983663666,-0.004664723032069971,0.004664723032069971,1,4,0,-0.003032069970845481,0.002448979591836735,True,5/8,20/32,4,False,1715
pigdetect,B_extension_strict,Medium,last,5,-0.0005776173285198555,0.001444043321299639,0.0042837247578891915,-0.005776173285198556,0.004332129963898917,3,2,0,-0.004043321299638989,0.00259927797833935,True,15/16,30/32,8,False,1385
pigdetect,B_extension_strict,High,last,5,-0.0017123287671232876,-0.0021404109589041095,0.005638672890547727,-0.007705479452054794,0.006421232876712328,2,3,0,-0.0059075342465753425,0.0028253424657534243,True,1/2,16/32,2,False,2336
oinktrack,A_locked_text_manuscript,Low,best,5,-0.000523697302958891,-0.0008977668050723825,0.028355516918504936,-0.03837953091684435,0.04140949388396364,2,3,0,-0.02308756967044477,0.023895559795009912,True,7/8,28/32,2,False,26733
oinktrack,A_locked_text_manuscript,Medium,best,5,-0.005755005335407209,-0.011484690094228717,0.026421126507002037,-0.027346222712557197,0.03700421406738891,1,4,0,-0.0238845381707692,0.016812862852905536,True,9/16,18/32,2,False,55291
oinktrack,A_locked_text_manuscript,High,best,5,-0.009180959164820977,-0.02129684248016116,0.027442244922416172,-0.03653908223797705,0.030645861389664884,2,3,0,-0.02913443666596178,0.014644570334672619,True,9/16,18/32,2,False,179698
oinktrack,A_locked_text_manuscript,Low,last,5,-0.0029775932368234013,-0.0009351737552837317,0.02949450376267172,-0.041110238282272844,0.03950173942318483,2,3,0,-0.025040212471477204,0.021232184939961846,True,13/16,26/32,2,False,26733
oinktrack,A_locked_text_manuscript,Medium,last,5,-0.009867790417970375,-0.020491580908285255,0.028742794061952737,-0.039970338753142466,0.03561158235517534,1,4,0,-0.02904270134379917,0.013170317049791103,True,7/16,14/32,2,False,55291
oinktrack,A_locked_text_manuscript,High,last,5,-0.013876615209963384,-0.025576244588142328,0.03001445611584355,-0.04000601008358468,0.029215684092199132,2,3,0,-0.0362675154982248,0.010926109361261671,True,3/8,12/32,2,False,179698
oinktrack,B_extension_strict,Low,best,5,-0.000523697302958891,-0.0008977668050723825,0.028355516918504936,-0.03837953091684435,0.04140949388396364,2,3,0,-0.02308756967044477,0.023895559795009912,True,7/8,28/32,2,False,26733
oinktrack,B_extension_strict,Medium,best,5,-0.005755005335407209,-0.011484690094228717,0.026421126507002037,-0.027346222712557197,0.03700421406738891,1,4,0,-0.0238845381707692,0.016812862852905536,True,9/16,18/32,2,False,55291
oinktrack,B_extension_strict,High,best,5,-0.009180959164820977,-0.02129684248016116,0.027442244922416172,-0.03653908223797705,0.030645861389664884,2,3,0,-0.02913443666596178,0.014644570334672619,True,9/16,18/32,2,False,179698
oinktrack,B_extension_strict,Low,last,5,-0.0029775932368234013,-0.0009351737552837317,0.02949450376267172,-0.041110238282272844,0.03950173942318483,2,3,0,-0.025040212471477204,0.021232184939961846,True,13/16,26/32,2,False,26733
oinktrack,B_extension_strict,Medium,last,5,-0.009867790417970375,-0.020491580908285255,0.028742794061952737,-0.039970338753142466,0.03561158235517534,1,4,0,-0.02904270134379917,0.013170317049791103,True,7/16,14/32,2,False,55291
oinktrack,B_extension_strict,High,last,5,-0.013876615209963384,-0.025576244588142328,0.03001445611584355,-0.04000601008358468,0.029215684092199132,2,3,0,-0.0362675154982248,0.010926109361261671,True,3/8,12/32,2,False,179698
