run_id,model,seed,checkpoint_rule,checkpoint_path,mAP50,mAP50_95,precision,recall,dataset,imgsz,evaluation_timestamp,git_commit
E0_seed101,E0,101,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed101/weights/best.pt,0.667,0.3709,0.8604,0.5939,OinkTrack official test split,640,2026-09-17T15:18:24,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed101,E0,101,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed101/weights/last.pt,0.6686,0.3727,0.8646,0.596,OinkTrack official test split,640,2026-09-17T15:19:58,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed103,E0,103,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed103/weights/best.pt,0.6608,0.3708,0.8366,0.5888,OinkTrack official test split,640,2026-09-17T15:21:32,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed103,E0,103,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed103/weights/last.pt,0.6513,0.3657,0.8547,0.5794,OinkTrack official test split,640,2026-09-17T15:23:06,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed107,E0,107,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed107/weights/best.pt,0.6701,0.3741,0.8515,0.6006,OinkTrack official test split,640,2026-09-17T15:24:40,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed107,E0,107,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed107/weights/last.pt,0.6462,0.3588,0.8405,0.5817,OinkTrack official test split,640,2026-09-17T15:26:14,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed109,E0,109,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed109/weights/best.pt,0.6309,0.3513,0.8343,0.57,OinkTrack official test split,640,2026-09-17T15:27:48,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed109,E0,109,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed109/weights/last.pt,0.6375,0.3568,0.8368,0.5787,OinkTrack official test split,640,2026-09-17T15:29:24,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed113,E0,113,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed113/weights/best.pt,0.6758,0.3752,0.8589,0.6081,OinkTrack official test split,640,2026-09-17T15:30:58,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed113,E0,113,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed113/weights/last.pt,0.6644,0.3694,0.8568,0.5966,OinkTrack official test split,640,2026-09-17T15:32:31,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed101,E5,101,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed101/weights/best.pt,0.6628,0.3704,0.8757,0.5998,OinkTrack official test split,640,2026-09-17T15:34:06,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed101,E5,101,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed101/weights/last.pt,0.6589,0.3708,0.8626,0.6021,OinkTrack official test split,640,2026-09-17T15:35:40,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed103,E5,103,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed103/weights/best.pt,0.6318,0.3544,0.8422,0.5736,OinkTrack official test split,640,2026-09-17T15:37:14,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed103,E5,103,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed103/weights/last.pt,0.6259,0.3512,0.8383,0.5721,OinkTrack official test split,640,2026-09-17T15:38:48,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed107,E5,107,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed107/weights/best.pt,0.6549,0.3652,0.8697,0.5811,OinkTrack official test split,640,2026-09-17T15:40:22,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed107,E5,107,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed107/weights/last.pt,0.6342,0.354,0.8685,0.572,OinkTrack official test split,640,2026-09-17T15:41:56,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed109,E5,109,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed109/weights/best.pt,0.637,0.3567,0.8557,0.5688,OinkTrack official test split,640,2026-09-17T15:43:30,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed109,E5,109,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed109/weights/last.pt,0.6286,0.3535,0.8494,0.5717,OinkTrack official test split,640,2026-09-17T15:45:05,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed113,E5,113,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed113/weights/best.pt,0.6274,0.3523,0.837,0.5731,OinkTrack official test split,640,2026-09-17T15:46:39,829edbaf88b1c94ec48901568fcd0e4a704991e0
