run_id,seed,model,checkpoint_rule,checkpoint_path,loader,mAP50,mAP50_95,precision,recall,params,GFLOPs,test_split,evaluation_timestamp,git_commit
E0_seed101,101,E0,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed101/weights/best.pt,YOLO,0.9796,0.7768,0.9714,0.9245,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:34,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed101,101,E0,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed101/weights/last.pt,YOLO,0.9797,0.7749,0.961,0.9332,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:38,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed103,103,E0,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed103/weights/best.pt,YOLO,0.9804,0.7728,0.9671,0.9371,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:42,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed103,103,E0,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed103/weights/last.pt,YOLO,0.9803,0.7745,0.9703,0.9309,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:47,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed107,107,E0,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed107/weights/best.pt,YOLO,0.9785,0.7715,0.9608,0.9347,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:51,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed107,107,E0,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed107/weights/last.pt,YOLO,0.9744,0.7696,0.9616,0.931,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:00:55,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed109,109,E0,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed109/weights/best.pt,YOLO,0.9791,0.7759,0.965,0.9334,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:01:00,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed109,109,E0,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed109/weights/last.pt,YOLO,0.975,0.7735,0.9677,0.9304,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:01:04,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed113,113,E0,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed113/weights/best.pt,YOLO,0.9761,0.7734,0.9668,0.9327,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:01:08,829edbaf88b1c94ec48901568fcd0e4a704991e0
E0_seed113,113,E0,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E0_seed113/weights/last.pt,YOLO,0.9801,0.776,0.9687,0.933,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:01:13,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed101,101,E5,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed101/weights/best.pt,YOLO,0.9756,0.7722,0.977,0.9216,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:17,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed101,101,E5,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed101/weights/last.pt,YOLO,0.9749,0.7728,0.9728,0.9233,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:21,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed103,103,E5,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed103/weights/best.pt,YOLO,0.9742,0.7721,0.9562,0.9338,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:26,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed103,103,E5,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed103/weights/last.pt,YOLO,0.9748,0.7721,0.9622,0.9297,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:30,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed107,107,E5,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed107/weights/best.pt,YOLO,0.9747,0.7747,0.9659,0.9238,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:34,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed107,107,E5,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed107/weights/last.pt,YOLO,0.9751,0.7789,0.972,0.9279,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:39,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed109,109,E5,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed109/weights/best.pt,YOLO,0.9782,0.7743,0.9537,0.9349,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:43,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed109,109,E5,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed109/weights/last.pt,YOLO,0.9783,0.7739,0.9596,0.9307,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:47,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed113,113,E5,best,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed113/weights/best.pt,YOLO,0.9751,0.7746,0.9565,0.9319,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:52,829edbaf88b1c94ec48901568fcd0e4a704991e0
E5_seed113,113,E5,last,<PIG_PROJECT>/runs/cea_10seed_corrected/E5_seed113/weights/last.pt,YOLO,0.9751,0.7746,0.9565,0.9319,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:01:56,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed1,1,E0,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed1/weights/best.pt,YOLO,0.9763,0.7712,0.9638,0.9404,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:00,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed1,1,E0,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed1/weights/last.pt,YOLO,0.9763,0.7712,0.9638,0.9404,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:05,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed7,7,E0,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed7/weights/best.pt,YOLO,0.9788,0.7749,0.967,0.9317,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:09,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed7,7,E0,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed7/weights/last.pt,YOLO,0.9754,0.7723,0.9643,0.9329,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:13,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed21,21,E0,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed21/weights/best.pt,YOLO,0.9806,0.7761,0.9652,0.9369,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:18,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed21,21,E0,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed21/weights/last.pt,YOLO,0.9755,0.7756,0.9677,0.9302,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:22,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed42,42,E0,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed42/weights/best.pt,YOLO,0.9786,0.778,0.9639,0.9268,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:26,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed42,42,E0,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed42/weights/last.pt,YOLO,0.9749,0.7729,0.9658,0.9292,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:31,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed100,100,E0,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed100/weights/best.pt,YOLO,0.974,0.7747,0.9622,0.9272,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:35,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E0_seed100,100,E0,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E0_seed100/weights/last.pt,YOLO,0.9751,0.7763,0.9637,0.9316,9948638,22.7,PigDetect_official_test_250,2026-09-17T17:02:39,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E5_seed1,1,E5,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E5_seed1/weights/best.pt,YOLO,0.9814,0.78,0.9633,0.9395,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:02:44,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E5_seed1,1,E5,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E5_seed1/weights/last.pt,YOLO,0.981,0.7795,0.9704,0.9338,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:02:48,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E5_seed7-2,7,E5,best,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E5_seed7-2/weights/best.pt,YOLO,0.9766,0.7781,0.9741,0.9266,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:02:52,829edbaf88b1c94ec48901568fcd0e4a704991e0
lc_E5_seed7-2,7,E5,last,<PIG_PROJECT>/results/leakage_corrected_confirmatory/runs/lc_E5_seed7-2/weights/last.pt,YOLO,0.9762,0.7779,0.9713,0.9324,9974286,22.7,PigDetect_official_test_250,2026-09-17T17:02:57,829edbaf88b1c94ec48901568fcd0e4a704991e0
