run_id,model,seed,protocol_family,git_commit,run_dir,dataset_hash,config_hash,epochs,imgsz,batch,optimizer,lr0,momentum,weight_decay,warmup_epochs,cos_lr,lrf,patience,workers,amp,deterministic,close_mosaic,model_source,pretrained_flag,best_checkpoint,last_checkpoint,best_checkpoint_sha256,last_checkpoint_sha256,best_epoch_from_results_csv,best_val_map5095,status,notes
E0_seed101,E0,101,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed101,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,e9c053f1276e4d1a7a99c9bfc9d27c88c5d29194dfaac15bc3c4ee21dd4da3b5,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed101\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed101\weights\last.pt,4582a5e1357e9a4f,5c5dd24062491f57,97,0.8573,OK,
E0_seed103,E0,103,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed103,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,a6c0b0fc7d199c1cdf0a85af141c61193dbfc30383abf7e7e31e1e6cf3af3568,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed103\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed103\weights\last.pt,b6a00bdb02e429e2,c9af87f1bf75719d,88,0.8578,OK,
E0_seed107,E0,107,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed107,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,91500cb91114920a2117d76bc56b8be2cb94a8e13fd96523cac3f0ec792a1d46,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed107\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed107\weights\last.pt,ecfa04bdd0294192,4987617eee3ecc2e,87,0.8591,OK,
E0_seed109,E0,109,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed109,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,3e5fdf2f7a4b980f5287abb1af1bcac711d4277306648cde1883368df50aaea4,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed109\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed109\weights\last.pt,4e6af185cde21bc5,a8ecbc72d73139fe,98,0.8586,OK,
E0_seed113,E0,113,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed113,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,620992d0d4d5c54e34c2a55a02970de2730039ab53adb0159500eb3369a31f6f,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed113\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E0_seed113\weights\last.pt,41dbe1471e987700,ccb1a796770399f5,98,0.8579,OK,
E5_seed101,E5,101,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed101,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,74e5e03c5b9279f05f6714e342a6d11293b660cdabedce6d78aa2c8bd245e06b,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<PIG_PROJECT>\weights\yolo26s_ca_aligned.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed101\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed101\weights\last.pt,553fa13fcd5cbe49,1ac26edba81dc83f,90,0.8566,OK,CA model summary line not found in log; no explicit SIoU marker line in log
E5_seed103,E5,103,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed103,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,d96a6bd2d9eb757fc3bf4194db449e6214d29ec08352a1fc987bf99019fc8e0a,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<PIG_PROJECT>\weights\yolo26s_ca_aligned.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed103\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed103\weights\last.pt,5af3ba056740b9c3,462e3ebd0316d0ed,99,0.8559,OK,CA model summary line not found in log; no explicit SIoU marker line in log
E5_seed107,E5,107,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed107,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,3e8fca93eda8c217503c3b0f91b1c24a66fe522793e4fadfc1fb58ca3e04e5c3,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<PIG_PROJECT>\weights\yolo26s_ca_aligned.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed107\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed107\weights\last.pt,27a6cba0adb78601,c2913734ae6e4df9,80,0.8578,OK,CA model summary line not found in log; no explicit SIoU marker line in log
E5_seed109,E5,109,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed109,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,a49c85d37de4105d056000b844f041eff7e2279db0dd2df5692b3e273f16388a,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<PIG_PROJECT>\weights\yolo26s_ca_aligned.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed109\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed109\weights\last.pt,8a8d072f344009cb,eb8c36130cd06393,90,0.8583,OK,CA model summary line not found in log; no explicit SIoU marker line in log
E5_seed113,E5,113,cea_10seed_new,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed113,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,586eb9760c0935626c7cf64d725887d6d87c2ea81eff74096cd30e6199c6cacd,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<PIG_PROJECT>\weights\yolo26s_ca_aligned.pt,True,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed113\weights\best.pt,<PIG_PROJECT>\runs\cea_10seed_corrected\E5_seed113\weights\last.pt,6664724ad9e28b5a,ab43d141b2298bd6,100,0.8557,OK,CA model summary line not found in log; no explicit SIoU marker line in log
lc_E0_seed1,E0,1,corrected_5seed_original,dfc181ef0660e8a88accacea0042ecac3a4c1fc1,<PIG_PROJECT>\results\leakage_corrected_confirmatory\runs\lc_E0_seed1,e29520cdeb2ece4762b316e550d373b8e2dc34f4012ca2c16391c98dc3bd3564,9e8cbebcf756976585d810c2448fba75ff4520ade9c97bab90706d98b2b89199,100,640,4,MuSGD,0.01,0.937,0.0005,3.0,False,0.01,100,8,True,True,10,<YOLO26_PARENT>\yolo26s.pt,True,<PIG_PROJECT>\results\leakage_corrected_confirmatory\runs\lc_E0_seed1\weights\best.pt,<PIG_PROJECT>\results\leakage_corrected_confirmatory\runs\lc_E0_seed1\weights\last.pt,793229ca9bafb00c,57ba573adee5f6ba,100,0.8616,OK,
