image,group,split
1010s1120s2001-2s5300-1-1036.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1066.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1081.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1096.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1111.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1126.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1141.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1171.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-1186.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-121.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-136.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-151.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-16.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-166.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-181.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-196.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-211.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-226.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-241.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-256.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-271.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-286.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-301.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-316.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-331.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-346.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-361.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-391.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-406.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-421.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-436.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-451.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-46.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-466.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-481.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-496.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-511.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-526.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-541.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-556.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-571.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-586.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-601.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-61.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-616.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-646.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-676.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-736.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-751.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-76.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-781.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-796.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-826.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-841.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-856.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-886.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-901.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-91.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-916.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-931.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-946.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-961.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-976.jpg,1010s1120s2001-2s5300-1,train
1010s1120s2001-2s5300-1-991.jpg,1010s1120s2001-2s5300-1,train
1010s1121s2001-2s5101-1-1.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-106.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-121.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-136.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-151.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-16.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-166.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-181.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-196.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-241.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-271.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-286.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-31.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-316.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-331.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-346.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-361.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-376.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-391.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-436.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-451.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-46.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-466.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-481.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-511.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-526.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-541.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-556.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-571.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-586.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-601.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-61.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-616.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-631.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-646.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-661.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-676.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-691.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-706.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-721.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-751.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-76.jpg,1010s1121s2001-2s5101-1,train
1010s1121s2001-2s5101-1-766.jpg,1010s1121s2001-2s5101-1,train
